Ticker,Published,Traded,Filed_After,Action,Amount
COST,11/28/2024,11/24/2024,2,BUY,1000–15000
DUK,11/28/2024,11/24/2024,2,BUY,1000–15000
GSK,11/28/2024,11/24/2024,2,BUY,1000–15000
HD,11/28/2024,11/24/2024,2,BUY,1000–15000
JNJ,11/28/2024,11/24/2024,2,BUY,1000–15000
JPM,11/28/2024,11/24/2024,2,BUY,1000–15000
LRCX,11/28/2024,11/24/2024,2,BUY,1000–15000
MSFT,11/28/2024,11/24/2024,2,BUY,1000–15000
NSRGY,11/28/2024,11/24/2024,2,BUY,1000–15000
NEE,11/28/2024,11/24/2024,2,BUY,1000–15000
NVDA,11/28/2024,11/24/2024,2,BUY,1000–15000
UPS,11/28/2024,11/24/2024,2,BUY,1000–15000
ABBV,11/22/2024,11/19/2024,1,BUY,1000–15000
ADBE,11/22/2024,11/19/2024,1,BUY,1000–15000
AMZN,11/22/2024,11/19/2024,1,BUY,1000–15000
AMAT,11/22/2024,11/19/2024,1,BUY,1000–15000
NSRGY,11/22/2024,11/19/2024,1,BUY,1000–15000
OXY,11/22/2024,11/19/2024,1,BUY,1000–15000
QCOM,11/22/2024,11/19/2024,1,BUY,1000–15000
SCCO,11/22/2024,11/19/2024,1,BUY,1000–15000
BRK/B,11/11/2024,11/6/2024,1,BUY,1000–15000
BX,11/11/2024,11/6/2024,1,BUY,1000–15000
DELL,11/11/2024,11/6/2024,1,BUY,1000–15000
FDX,11/11/2024,11/6/2024,1,BUY,1000–15000
GS,11/11/2024,11/6/2024,1,BUY,1000–15000
NEE,11/11/2024,11/6/2024,1,BUY,1000–15000
PANW,11/11/2024,11/6/2024,1,BUY,1000–15000
NOW,11/11/2024,11/6/2024,1,BUY,1000–15000
SO,11/11/2024,11/6/2024,1,BUY,1000–15000
TSLA,11/11/2024,11/6/2024,1,BUY,1000–15000
HSY,11/11/2024,11/6/2024,1,BUY,1000–15000
TSCO,11/11/2024,11/6/2024,1,BUY,1000–15000
AMD,11/5/2024,10/31/2024,3,BUY,1000–15000
AAPL,11/5/2024,10/31/2024,3,BUY,1000–15000
BRK/B,11/5/2024,10/31/2024,3,BUY,1000–15000
GLW,11/5/2024,10/31/2024,3,BUY,1000–15000
DLR,11/5/2024,10/31/2024,3,BUY,1000–15000
DUK,11/5/2024,10/31/2024,3,BUY,1000–15000
INTC,11/5/2024,10/31/2024,3,BUY,1000–15000
META,11/5/2024,10/31/2024,3,BUY,1000–15000
TSLA,11/5/2024,10/31/2024,3,BUY,1000–15000
HSY,11/5/2024,10/31/2024,3,BUY,1000–15000
ASML,10/22/2024,10/20/2024,1,BUY,1000–15000
BRK/B,10/22/2024,10/20/2024,1,BUY,1000–15000
BX,10/22/2024,10/20/2024,1,BUY,1000–15000
CAT,10/22/2024,10/20/2024,1,BUY,1000–15000
HD,10/22/2024,10/20/2024,1,BUY,1000–15000
INTC,10/22/2024,10/20/2024,1,BUY,1000–15000
MSFT,10/22/2024,10/20/2024,1,BUY,1000–15000
NSRGY,10/22/2024,10/20/2024,1,BUY,1000–15000
TSLA,10/22/2024,10/20/2024,1,BUY,1000–15000
V,10/22/2024,10/20/2024,1,BUY,1000–15000
AMAT,10/9/2024,10/3/2024,4,BUY,1000–15000
ASML,10/9/2024,10/3/2024,4,BUY,1000–15000
COST,10/9/2024,10/3/2024,4,BUY,1000–15000
DELL,10/9/2024,10/3/2024,4,BUY,1000–15000
FDX,10/9/2024,10/3/2024,4,BUY,1000–15000
JPM,10/9/2024,10/3/2024,4,BUY,1000–15000
LRCX,10/9/2024,10/3/2024,4,BUY,1000–15000
META,10/9/2024,10/3/2024,4,BUY,1000–15000
V,10/9/2024,10/3/2024,4,BUY,1000–15000
GOOGL,9/23/2024,9/19/2024,3,BUY,1000–15000
BRK/B,9/23/2024,9/19/2024,3,BUY,1000–15000
BX,9/23/2024,9/19/2024,3,BUY,1000–15000
